food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Cereal Products,Durum Wheat Semolina,100g,397 cal,1667 kJ,1 tbsp (30 g),119 cal,500 kJ,1 oz. (28 g),111 cal,467 kJ
Cereal Products,Flaxseed,100g,534 cal,2243 kJ,1 cup (168 g),897 cal,3768 kJ,1 oz. (28 g),150 cal,628 kJ
Cereal Products,Freekeh,100g,520 cal,2184 kJ,1 cup (160 g),832 cal,3494 kJ,1 oz. (28 g),146 cal,612 kJ
Cereal Products,Gluten,100g,370 cal,1554 kJ,1 oz. (28 g),104 cal,435 kJ,1 oz. (28 g),104 cal,435 kJ
Cereal Products,Grissini,100g,408 cal,1714 kJ,1 grissini (5 g),20 cal,86 kJ,1 oz. (28 g),114 cal,480 kJ
Cereal Products,Kamut,100g,337 cal,1415 kJ,1 cup (186 g),627 cal,2632 kJ,1 oz. (28 g),94 cal,396 kJ
Cereal Products,Millet,100g,378 cal,1588 kJ,1 cup (128 g),484 cal,2033 kJ,1 oz. (28 g),106 cal,445 kJ
Cereal Products,Millet Flour,100g,372 cal,1562 kJ,1 cup (140 g),521 cal,2187 kJ,1 oz. (28 g),104 cal,437 kJ
Cereal Products,Millet Gruel,100g,46 cal,193 kJ,1 cup (174 g),80 cal,336 kJ,1 oz. (28 g),13 cal,54 kJ
Cereal Products,Oat Bran,100g,246 cal,1033 kJ,1 cup  (94 g),231 cal,971 kJ,1 oz. (28 g),69 cal,289 kJ
Cereal Products,Pearl Barley,100g,352 cal,1478 kJ,1 cup (157 g),553 cal,2320 kJ,1 oz. (28 g),99 cal,414 kJ
Cereal Products,Polenta,100g,366 cal,1537 kJ,1 cup (150 g),549 cal,2306 kJ,1 oz. (28 g),102 cal,430 kJ
Cereal Products,Prawn Crackers,100g,527 cal,2213 kJ,1 cracker (3 g),16 cal,66 kJ,1 oz. (28 g),148 cal,620 kJ
Cereal Products,Pretzel Sticks,100g,380 cal,1596 kJ,20 sticks (12 g),46 cal,192 kJ,1 oz. (28 g),106 cal,447 kJ
Cereal Products,Quinoa,100g,368 cal,1546 kJ,1 cup (170 g),626 cal,2628 kJ,1 oz. (28 g),103 cal,433 kJ
Cereal Products,Rusk,100g,410 cal,1722 kJ,1 rusk (10 g),41 cal,172 kJ,1 oz. (28 g),115 cal,482 kJ
Cereal Products,Rye Bran,100g,281 cal,1180 kJ,1 cup (150 g),422 cal,1770 kJ,1 oz. (28 g),79 cal,330 kJ
Cereal Products,Sago,100g,354 cal,1487 kJ,1 oz. (28 g),99 cal,416 kJ,1 oz. (28 g),99 cal,416 kJ
Cereal Products,Savoury Biscuits,100g,347 cal,1457 kJ,40 grams (40 g),139 cal,583 kJ,1 oz. (28 g),97 cal,408 kJ
Cereal Products,Shortbread,100g,502 cal,2108 kJ,1 cookie (19 g),95 cal,401 kJ,1 oz. (28 g),141 cal,590 kJ
Cereal Products,Spelt,100g,338 cal,1420 kJ,1 cup (174 g),588 cal,2471 kJ,1 oz. (28 g),95 cal,398 kJ
Cereal Products,Spelt Bran,100g,177 cal,743 kJ,1 cup (160 g),283 cal,1189 kJ,1 oz. (28 g),50 cal,208 kJ
Cereal Products,Spelt Semolina,100g,360 cal,1512 kJ,1 cup (167 g),601 cal,2525 kJ,1 oz. (28 g),101 cal,423 kJ
Cereal Products,Sunflower Seeds,100g,584 cal,2453 kJ,1 cup (140 g),818 cal,3434 kJ,1 oz. (28 g),164 cal,687 kJ
Cereal Products,Tortilla,100g,237 cal,995 kJ,1 tortilla (197 g),467 cal,1960 kJ,1 oz. (28 g),66 cal,279 kJ
Cereal Products,Tortilla Chips,100g,499 cal,2096 kJ,20 chips (32 g),160 cal,671 kJ,1 oz. (28 g),140 cal,587 kJ
Cereal Products,Wheat Bran,100g,216 cal,907 kJ,1 cup (58 g),125 cal,526 kJ,1 oz. (28 g),60 cal,254 kJ
Cereal Products,Wheat Germ,100g,382 cal,1604 kJ,1 cup (113 g),432 cal,1813 kJ,1 oz. (28 g),107 cal,449 kJ
Cereal Products,Wheat Gluten,100g,325 cal,1365 kJ,1 tsp (3 g),10 cal,41 kJ,1 oz. (28 g),91 cal,382 kJ
Cereal Products,Wheat Semolina,100g,360 cal,1512 kJ,1 cup (167 g),601 cal,2525 kJ,1 oz. (28 g),101 cal,423 kJ
Cereal Products,Wheat Starch,100g,351 cal,1474 kJ,1 cup (110 g),386 cal,1621 kJ,1 oz. (28 g),98 cal,413 kJ
Cereal Products,Whole Grain Wheat,100g,339 cal,1424 kJ,1 cup (120 g),407 cal,1709 kJ,1 oz. (28 g),95 cal,399 kJ
Cereal Products,Wholegrain Oat,100g,375 cal,1575 kJ,1 cup (80 g),300 cal,1260 kJ,1 oz. (28 g),105 cal,441 kJ
Cheese,American Cheese,100g,148 cal,622 kJ,1 slice (21 g),31 cal,131 kJ,1 oz. (28 g),41 cal,174 kJ
Cheese,Applewood,100g,410 cal,1722 kJ,1 slice (20 g),82 cal,344 kJ,1 oz. (28 g),115 cal,482 kJ
Cheese,Asiago Cheese,100g,392 cal,1646 kJ,1 oz. (28.35 g),110 cal,461 kJ,1 oz. (28 g),110 cal,461 kJ
Cheese,Babybel,100g,333 cal,1399 kJ,1 piece (21 g),70 cal,294 kJ,1 oz. (28 g),93 cal,392 kJ
Cheese,Blue Cheese,100g,353 cal,1483 kJ,1 oz. (28.35 g),99 cal,415 kJ,1 oz. (28 g),99 cal,415 kJ
Cheese,Brie,100g,334 cal,1403 kJ,1 slice (30 g),100 cal,421 kJ,1 oz. (28 g),94 cal,393 kJ
Cheese,Camembert,100g,300 cal,1260 kJ,1 slice (30 g),90 cal,378 kJ,1 oz. (28 g),84 cal,353 kJ
Cheese,Cheddar,100g,403 cal,1693 kJ,1 slice (22 g),89 cal,372 kJ,1 oz. (28 g),113 cal,474 kJ
Cheese,Cheese Fondue,100g,228 cal,958 kJ,1 packet (400 g),912 cal,3832 kJ,1 oz. (28 g),64 cal,268 kJ
Cheese,Cheese Spread,100g,290 cal,1218 kJ,1 tbsp (15 g),44 cal,183 kJ,1 oz. (28 g),81 cal,341 kJ
Cheese,Cheese Whiz,100g,276 cal,1159 kJ,1 tbsp (33 g),91 cal,382 kJ,1 oz. (28 g),77 cal,325 kJ
Cheese,Chester,100g,387 cal,1625 kJ,1 oz. (28.35 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Cheese,Colby Cheese,100g,394 cal,1655 kJ,1 cup (132 g),520 cal,2185 kJ,1 oz. (28 g),110 cal,463 kJ
Cheese,Colby-Jack Cheese,100g,394 cal,1655 kJ,1 cup (132 g),520 cal,2185 kJ,1 oz. (28 g),110 cal,463 kJ
Cheese,Cottage Cheese,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Cheese,Dutch Cheese,100g,393 cal,1651 kJ,1 oz. (28.35 g),110 cal,462 kJ,1 oz. (28 g),110 cal,462 kJ
Cheese,Edam Cheese,100g,357 cal,1499 kJ,1 package (198 g),707 cal,2968 kJ,1 oz. (28 g),100 cal,420 kJ
Cheese,Emmentaler,100g,357 cal,1499 kJ,1 slice (25 g),89 cal,375 kJ,1 oz. (28 g),100 cal,420 kJ
Cheese,Feta,100g,264 cal,1109 kJ,1 oz. (28.35 g),74 cal,311 kJ,1 oz. (28 g),74 cal,311 kJ
Cheese,Fontina,100g,389 cal,1634 kJ,1 slice (30 g),117 cal,490 kJ,1 oz. (28 g),109 cal,458 kJ
Cheese,Fresh Mozzarella,100g,280 cal,1176 kJ,1 slice (28 g),78 cal,329 kJ,1 oz. (28 g),78 cal,329 kJ
Cheese,Gjetost,100g,466 cal,1957 kJ,1 package (227 g),1058 cal,4442 kJ,1 oz. (28 g),130 cal,548 kJ
Cheese,Goat Cheese,100g,364 cal,1529 kJ,1 oz. (28.35 g),102 cal,428 kJ,1 oz. (28 g),102 cal,428 kJ
Cheese,Gorgonzola,100g,350 cal,1470 kJ,1 oz. (28.35 g),98 cal,412 kJ,1 oz. (28 g),98 cal,412 kJ
Cheese,Gouda,100g,356 cal,1495 kJ,1 package (198 g),705 cal,2960 kJ,1 oz. (28 g),100 cal,419 kJ
Cheese,Grated Parmesan,100g,431 cal,1810 kJ,1 tsp (5 g),22 cal,91 kJ,1 oz. (28 g),121 cal,507 kJ
Cheese,Grilled Cheese,100g,350 cal,1470 kJ,1 piece (83 g),291 cal,1220 kJ,1 oz. (28 g),98 cal,412 kJ
Cheese,Gruyere,100g,413 cal,1735 kJ,1 slice (25 g),103 cal,434 kJ,1 oz. (28 g),116 cal,486 kJ
Cheese,Halloumi,100g,321 cal,1348 kJ,1 oz. (28.35 g),90 cal,377 kJ,1 oz. (28 g),90 cal,377 kJ
Cheese,Havarti,100g,371 cal,1558 kJ,1 slice (28 g),104 cal,436 kJ,1 oz. (28 g),104 cal,436 kJ
Cheese,Italian Cheese,100g,397 cal,1667 kJ,1 serving (30 g),119 cal,500 kJ,1 oz. (28 g),111 cal,467 kJ
Cheese,Jarlsberg,100g,352 cal,1478 kJ,1 oz. (28.35 g),99 cal,414 kJ,1 oz. (28 g),99 cal,414 kJ
Cheese,Maasdam Cheese,100g,344 cal,1445 kJ,1 slice (18 g),62 cal,260 kJ,1 oz. (28 g),96 cal,405 kJ
Cheese,Manchego Cheese,100g,320 cal,1344 kJ,1 serving (28 g),90 cal,376 kJ,1 oz. (28 g),90 cal,376 kJ
Cheese,Monterey,100g,373 cal,1567 kJ,1 cup (132 g),492 cal,2068 kJ,1 oz. (28 g),104 cal,439 kJ
Cheese,Monterey Jack Cheese,100g,373 cal,1567 kJ,1 cup (132 g),492 cal,2068 kJ,1 oz. (28 g),104 cal,439 kJ
Cheese,Mozzarella,100g,280 cal,1176 kJ,1 slice (28 g),78 cal,329 kJ,1 oz. (28 g),78 cal,329 kJ
Cheese,Muenster Cheese,100g,368 cal,1546 kJ,1 slice (28 g),103 cal,433 kJ,1 oz. (28 g),103 cal,433 kJ
Cheese,Neufchatel,100g,253 cal,1063 kJ,1 package (85 g),215 cal,904 kJ,1 oz. (28 g),71 cal,298 kJ
Cheese,Parmesan,100g,431 cal,1810 kJ,1 tsp (5 g),22 cal,91 kJ,1 oz. (28 g),121 cal,507 kJ
Cheese,Pecorino,100g,387 cal,1625 kJ,1 tbsp (5 g),19 cal,81 kJ,1 oz. (28 g),108 cal,455 kJ
Cheese,Provolone,100g,351 cal,1474 kJ,1 slice (28 g),98 cal,413 kJ,1 oz. (28 g),98 cal,413 kJ
Cheese,Raclette Cheese,100g,357 cal,1499 kJ,1 slice (25 g),89 cal,375 kJ,1 oz. (28 g),100 cal,420 kJ
Cheese,Ricotta,100g,174 cal,731 kJ,1 cup (246 g),428 cal,1798 kJ,1 oz. (28 g),49 cal,205 kJ
Cheese,Romano,100g,387 cal,1625 kJ,5 package (142 g),550 cal,2308 kJ,1 oz. (28 g),108 cal,455 kJ
Cheese,Roquefort,100g,369 cal,1550 kJ,1 oz. (28.35 g),103 cal,434 kJ,1 oz. (28 g),103 cal,434 kJ
Cheese,Sheep Cheese,100g,364 cal,1529 kJ,1 oz. (28.35 g),102 cal,428 kJ,1 oz. (28 g),102 cal,428 kJ
Cheese,Soft Cheese,100g,268 cal,1126 kJ,1 oz. (28.35 g),75 cal,315 kJ,1 oz. (28 g),75 cal,315 kJ
Cheese,Stilton Cheese,100g,393 cal,1651 kJ,1 oz. (28.35 g),110 cal,462 kJ,1 oz. (28 g),110 cal,462 kJ
Cheese,String Cheese,100g,250 cal,1050 kJ,1 stick (28 g),70 cal,294 kJ,1 oz. (28 g),70 cal,294 kJ
Cheese,Swiss Cheese,100g,380 cal,1596 kJ,1 slice (25 g),95 cal,399 kJ,1 oz. (28 g),106 cal,447 kJ
Cheese,White Cheddar,100g,403 cal,1693 kJ,1 cup (132 g),532 cal,2235 kJ,1 oz. (28 g),113 cal,474 kJ
Cheese,Wisconsin Cheese,100g,389 cal,1634 kJ,1 oz. (28.35 g),109 cal,458 kJ,1 oz. (28 g),109 cal,458 kJ
Cold Cuts & Lunch Meat,Baked Ham,100g,343 cal,1441 kJ,1 slice (21 g),72 cal,303 kJ,1 oz. (28 g),96 cal,403 kJ
Cold Cuts & Lunch Meat,Beef Salami,100g,375 cal,1575 kJ,1 slice (10 g),38 cal,158 kJ,1 oz. (28 g),105 cal,441 kJ
Cold Cuts & Lunch Meat,Boiled Ham,100g,126 cal,529 kJ,1 slice (21 g),26 cal,111 kJ,1 oz. (28 g),35 cal,148 kJ
Cold Cuts & Lunch Meat,Bologna,100g,247 cal,1037 kJ,1 slice (23 g),57 cal,239 kJ,1 oz. (28 g),69 cal,290 kJ
Cold Cuts & Lunch Meat,Bresaola,100g,178 cal,748 kJ,1 slice (9 g),16 cal,67 kJ,1 oz. (28 g),50 cal,209 kJ
Cold Cuts & Lunch Meat,Capicola,100g,110 cal,462 kJ,1 slice (21 g),23 cal,97 kJ,1 oz. (28 g),31 cal,129 kJ
Cold Cuts & Lunch Meat,Chicken Breast Fillet,100g,79 cal,332 kJ,1 slice (21 g),17 cal,70 kJ,1 oz. (28 g),22 cal,93 kJ
Cold Cuts & Lunch Meat,Chopped Ham,100g,180 cal,756 kJ,1 slice (28 g),50 cal,212 kJ,1 oz. (28 g),50 cal,212 kJ
Cold Cuts & Lunch Meat,Chorizo,100g,455 cal,1911 kJ,1 oz. (28.35 g),127 cal,535 kJ,1 oz. (28 g),127 cal,535 kJ
Cold Cuts & Lunch Meat,Corned Beef,100g,251 cal,1054 kJ,1 slice (21 g),53 cal,221 kJ,1 oz. (28 g),70 cal,295 kJ
Cold Cuts & Lunch Meat,Dutch Loaf,100g,268 cal,1126 kJ,1 slice (21 g),56 cal,236 kJ,1 oz. (28 g),75 cal,315 kJ
Cold Cuts & Lunch Meat,Ham,100g,145 cal,609 kJ,1 slice (23 g),33 cal,140 kJ,1 oz. (28 g),41 cal,171 kJ
Cold Cuts & Lunch Meat,Ham Sausage,100g,164 cal,689 kJ,1 slice (23 g),38 cal,158 kJ,1 oz. (28 g),46 cal,193 kJ
Cold Cuts & Lunch Meat,Head Cheese,100g,157 cal,659 kJ,1 slice (28 g),44 cal,185 kJ,1 oz. (28 g),44 cal,185 kJ
Cold Cuts & Lunch Meat,Hickory Ham,100g,188 cal,790 kJ,1 slice (21 g),39 cal,166 kJ,1 oz. (28 g),53 cal,221 kJ
Cold Cuts & Lunch Meat,Honey Ham,100g,122 cal,512 kJ,1 slice (22 g),27 cal,113 kJ,1 oz. (28 g),34 cal,143 kJ
Cold Cuts & Lunch Meat,Liverwurst,100g,326 cal,1369 kJ,1 slice (18 g),59 cal,246 kJ,1 oz. (28 g),91 cal,383 kJ
Cold Cuts & Lunch Meat,Olive Loaf,100g,232 cal,974 kJ,1 slice (23 g),53 cal,224 kJ,1 oz. (28 g),65 cal,273 kJ
Cold Cuts & Lunch Meat,Oven-Roasted Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Cold Cuts & Lunch Meat,Parma Ham,100g,345 cal,1449 kJ,1 slice (11 g),38 cal,159 kJ,1 oz. (28 g),97 cal,406 kJ
Cold Cuts & Lunch Meat,Pastrami,100g,133 cal,559 kJ,1 slice (29 g),39 cal,162 kJ,1 oz. (28 g),37 cal,157 kJ
Cold Cuts & Lunch Meat,Pepperoni,100g,494 cal,2075 kJ,1 slice (2 g),10 cal,42 kJ,1 oz. (28 g),138 cal,581 kJ
Cold Cuts & Lunch Meat,Pimento Loaf,100g,265 cal,1113 kJ,1 slice (28 g),74 cal,312 kJ,1 oz. (28 g),74 cal,312 kJ
Cold Cuts & Lunch Meat,Pork Roast,100g,247 cal,1037 kJ,1 slice (21 g),52 cal,218 kJ,1 oz. (28 g),69 cal,290 kJ
Cold Cuts & Lunch Meat,Prosciutto,100g,195 cal,819 kJ,1 slice (9 g),18 cal,74 kJ,1 oz. (28 g),55 cal,229 kJ
Cold Cuts & Lunch Meat,Roast Beef,100g,267 cal,1121 kJ,1 slice (21 g),56 cal,235 kJ,1 oz. (28 g),75 cal,314 kJ
Cold Cuts & Lunch Meat,Salami,100g,336 cal,1411 kJ,1 slice (12.3 g),40 cal,169 kJ,1 oz. (28 g),94 cal,395 kJ
Cold Cuts & Lunch Meat,Serrano Ham,100g,300 cal,1260 kJ,1 slice (15 g),45 cal,189 kJ,1 oz. (28 g),84 cal,353 kJ
Cold Cuts & Lunch Meat,Smoked Ham,100g,107 cal,449 kJ,1 slice (21 g),22 cal,94 kJ,1 oz. (28 g),30 cal,126 kJ
Cold Cuts & Lunch Meat,Smoked Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Cold Cuts & Lunch Meat,Summer Sausage,100g,298 cal,1252 kJ,1 slice (21 g),63 cal,263 kJ,1 oz. (28 g),83 cal,351 kJ
Cold Cuts & Lunch Meat,Tongue,100g,284 cal,1193 kJ,1 slice (28 g),80 cal,334 kJ,1 oz. (28 g),80 cal,334 kJ
Cold Cuts & Lunch Meat,Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Cold Cuts & Lunch Meat,Turkey Ham,100g,126 cal,529 kJ,1 slice (21 g),26 cal,111 kJ,1 oz. (28 g),35 cal,148 kJ
Cold Cuts & Lunch Meat,Turkey Salami,100g,152 cal,638 kJ,1 slice (23 g),35 cal,147 kJ,1 oz. (28 g),43 cal,179 kJ
Cream Cheese,Chive Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Cottage Cheese,100g,98 cal,412 kJ,1 cup (226 g),221 cal,931 kJ,1 oz. (28 g),27 cal,115 kJ
Cream Cheese,Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Cream Cheese with Herbs,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Feta Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Garlic Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Goat Cheese,100g,364 cal,1529 kJ,1 tsp (10 g),36 cal,153 kJ,1 oz. (28 g),102 cal,428 kJ
Cream Cheese,Horseradish,100g,48 cal,202 kJ,1 tbsp (15 g),7 cal,30 kJ,1 oz. (28 g),13 cal,57 kJ
Cream Cheese,Mascarpone,100g,450 cal,1890 kJ,1 tbsp (14.5 g),63 cal,265 kJ,1 oz. (28 g),126 cal,529 kJ
Cream Cheese,Obatzda,100g,303 cal,1273 kJ,1 tbsp (15 g),45 cal,191 kJ,1 oz. (28 g),85 cal,356 kJ
Cream Cheese,Olive Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Pesto Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Philadelphia Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Pineapple Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Salmon Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Vegetable Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese,Walnut Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Dishes & Meals,Baby Back Ribs,100g,259 cal,1088 kJ,1 serving (139 g),360 cal,1512 kJ,1 oz. (28 g),73 cal,305 kJ
Dishes & Meals,Bacon and Eggs,100g,252 cal,1058 kJ,1 serving (214 g),539 cal,2264 kJ,1 oz. (28 g),71 cal,296 kJ
Dishes & Meals,Baked Beans,100g,94 cal,395 kJ,1 cup (260 g),244 cal,1027 kJ,1 oz. (28 g),26 cal,111 kJ
Dishes & Meals,Baked Chicken,100g,164 cal,689 kJ,1 breast (172 g),282 cal,1185 kJ,1 oz. (28 g),46 cal,193 kJ
Dishes & Meals,BBQ Ribs,100g,255 cal,1071 kJ,1 rib (141 g),360 cal,1510 kJ,1 oz. (28 g),71 cal,300 kJ
Dishes & Meals,Beef Stew,100g,95 cal,399 kJ,1 cup (196 g),186 cal,782 kJ,1 oz. (28 g),27 cal,112 kJ
Dishes & Meals,Biryani,100g,176 cal,739 kJ,1 cup (275 g),484 cal,2032 kJ,1 oz. (28 g),49 cal,207 kJ
Dishes & Meals,Black Pudding,100g,253 cal,1063 kJ,1 pudding (40 g),101 cal,425 kJ,1 oz. (28 g),71 cal,298 kJ
Dishes & Meals,Black Rice,100g,323 cal,1357 kJ,1/2 cup (100 g),323 cal,1357 kJ,1 oz. (28 g),90 cal,380 kJ
Dishes & Meals,BLT,100g,247 cal,1037 kJ,1 item (240 g),593 cal,2489 kJ,1 oz. (28 g),69 cal,290 kJ
Dishes & Meals,Brown Rice,100g,362 cal,1520 kJ,1 cup (185 g),670 cal,2812 kJ,1 oz. (28 g),101 cal,426 kJ
Dishes & Meals,Burrito,100g,163 cal,685 kJ,1 burrito (200 g),326 cal,1370 kJ,1 oz. (28 g),46 cal,192 kJ
Dishes & Meals,Butter Chicken,100g,140 cal,588 kJ,1 tray (350 g),490 cal,2058 kJ,1 oz. (28 g),39 cal,165 kJ
Dishes & Meals,California Roll,100g,93 cal,391 kJ,1 roll (35 g),33 cal,137 kJ,1 oz. (28 g),26 cal,109 kJ
Dishes & Meals,Chicken Caesar Salad,100g,127 cal,533 kJ,1 salad (309 g),392 cal,1647 kJ,1 oz. (28 g),36 cal,149 kJ
Dishes & Meals,Chicken Fried Steak,100g,151 cal,634 kJ,1 steak  (280 g),423 cal,1775 kJ,1 oz. (28 g),42 cal,178 kJ
Dishes & Meals,Chicken Marsala,100g,96 cal,403 kJ,1 serving (2301 g),2209 cal,9273 kJ,1 oz. (28 g),27 cal,113 kJ
Dishes & Meals,Chicken Parmesan,100g,110 cal,462 kJ,1 piece (227 g),250 cal,1049 kJ,1 oz. (28 g),31 cal,129 kJ
Dishes & Meals,Chicken Pot Pie,100g,223 cal,937 kJ,1 pie (302 g),673 cal,2830 kJ,1 oz. (28 g),62 cal,262 kJ
Dishes & Meals,Chicken Tikka Masala,100g,81 cal,340 kJ,1 serving (241 g),195 cal,819 kJ,1 oz. (28 g),23 cal,95 kJ
Dishes & Meals,Chili con Carne,100g,105 cal,441 kJ,1 cup (253 g),266 cal,1116 kJ,1 oz. (28 g),29 cal,123 kJ
Dishes & Meals,Chimichanga,100g,232 cal,974 kJ,1 item (180 g),418 cal,1753 kJ,1 oz. (28 g),65 cal,273 kJ
Dishes & Meals,Cobb Salad,100g,118 cal,496 kJ,1 serving (536 g),632 cal,2659 kJ,1 oz. (28 g),33 cal,139 kJ
Dishes & Meals,Collard Greens,100g,28 cal,118 kJ,1 cup (45 g),13 cal,53 kJ,1 oz. (28 g),8 cal,33 kJ
Dishes & Meals,Corn Dog,100g,250 cal,1050 kJ,1 item (175 g),438 cal,1838 kJ,1 oz. (28 g),70 cal,294 kJ
Dishes & Meals,Corned Beef Hash,100g,164 cal,689 kJ,1 can (213 g),349 cal,1468 kJ,1 oz. (28 g),46 cal,193 kJ
Dishes & Meals,Cottage Pie,100g,139 cal,584 kJ,1 pie (376 g),523 cal,2196 kJ,1 oz. (28 g),39 cal,164 kJ
Dishes & Meals,Dal,100g,330 cal,1386 kJ,1/2 cup (92 g),304 cal,1275 kJ,1 oz. (28 g),92 cal,388 kJ
Dishes & Meals,Deviled Eggs,100g,201 cal,844 kJ,1/2 egg (31 g),62 cal,262 kJ,1 oz. (28 g),56 cal,236 kJ
Dishes & Meals,Dim Sum,100g,193 cal,811 kJ,1 piece (19 g),37 cal,154 kJ,1 oz. (28 g),54 cal,227 kJ
Dishes & Meals,Dosa,100g,66 cal,277 kJ,1 serving (435 g),287 cal,1205 kJ,1 oz. (28 g),18 cal,78 kJ
Dishes & Meals,Enchiladas,100g,168 cal,706 kJ,1 enchilada (192 g),323 cal,1356 kJ,1 oz. (28 g),47 cal,198 kJ
Dishes & Meals,Fajita,100g,117 cal,491 kJ,1 serving (248 g),290 cal,1218 kJ,1 oz. (28 g),33 cal,137 kJ
Dishes & Meals,Fish and Chips,100g,195 cal,819 kJ,1 serving (300 g),585 cal,2457 kJ,1 oz. (28 g),55 cal,229 kJ
Dishes & Meals,Fried Rice,100g,186 cal,781 kJ,1 serving (356 g),662 cal,2780 kJ,1 oz. (28 g),52 cal,219 kJ
Dishes & Meals,Fried Shrimp,100g,277 cal,1163 kJ,1 shrimp (27 g),75 cal,314 kJ,1 oz. (28 g),78 cal,326 kJ
Dishes & Meals,Grilled Cheese Sandwich,100g,288 cal,1210 kJ,1 sandwich (136 g),392 cal,1646 kJ,1 oz. (28 g),81 cal,339 kJ
Dishes & Meals,Ham and Cheese Sandwich,100g,241 cal,1012 kJ,1 sandwich (146 g),352 cal,1478 kJ,1 oz. (28 g),67 cal,283 kJ
Dishes & Meals,Hummus,100g,177 cal,743 kJ,1 cup (246 g),435 cal,1828 kJ,1 oz. (28 g),50 cal,208 kJ
Dishes & Meals,Jambalaya,100g,100 cal,420 kJ,1 cup (250 g),250 cal,1050 kJ,1 oz. (28 g),28 cal,118 kJ
Dishes & Meals,Kebab,100g,215 cal,903 kJ,1 kebab (360 g),774 cal,3251 kJ,1 oz. (28 g),60 cal,253 kJ
Dishes & Meals,Lasagne,100g,132 cal,554 kJ,1 serving (215 g),284 cal,1191 kJ,1 oz. (28 g),37 cal,155 kJ
Dishes & Meals,Mac and Cheese,100g,370 cal,1554 kJ,1 serving (189 g),699 cal,2937 kJ,1 oz. (28 g),104 cal,435 kJ
Dishes & Meals,Macaroni and Cheese,100g,370 cal,1554 kJ,1 serving (189 g),699 cal,2937 kJ,1 oz. (28 g),104 cal,435 kJ
Dishes & Meals,Mashed Potatoes,100g,83 cal,349 kJ,1 cup (210 g),174 cal,733 kJ,1 oz. (28 g),23 cal,98 kJ
Dishes & Meals,Meat Pie,100g,242 cal,1016 kJ,1 pie (120 g),290 cal,1219 kJ,1 oz. (28 g),68 cal,284 kJ
Dishes & Meals,Meatloaf,100g,254 cal,1067 kJ,1 loaf (284 g),721 cal,3030 kJ,1 oz. (28 g),71 cal,299 kJ
Dishes & Meals,Naan,100g,310 cal,1302 kJ,1 bread (84 g),260 cal,1094 kJ,1 oz. (28 g),87 cal,365 kJ
Dishes & Meals,Orange Chicken,100g,259 cal,1088 kJ,1 serving (162 g),420 cal,1763 kJ,1 oz. (28 g),73 cal,305 kJ
Dishes & Meals,Pad Thai,100g,150 cal,630 kJ,1 cup (250 g),375 cal,1575 kJ,1 oz. (28 g),42 cal,176 kJ
Dishes & Meals,Paella,100g,156 cal,655 kJ,1/2 package (128 g),200 cal,838 kJ,1 oz. (28 g),44 cal,183 kJ
